COUNTRY_AREA_TERRITORY,iso3,WHOREGION,month_start,cases,deaths
China,CHN,WPRO,01-06-23,161,0
China,CHN,WPRO,01-07-23,576,0
China,CHN,WPRO,01-08-23,556,0
China,CHN,WPRO,01-09-23,365,0
China,CHN,WPRO,01-10-23,141,0
China,CHN,WPRO,01-11-23,89,1
China,CHN,WPRO,01-12-23,103,0
China,CHN,WPRO,01-01-24,100,0
China,CHN,WPRO,01-02-24,73,0
China,CHN,WPRO,01-03-24,54,0
China,CHN,WPRO,01-04-24,42,0
China,CHN,WPRO,01-05-24,7,0
Colombia,COL,AMRO,01-05-22,2,0
Colombia,COL,AMRO,01-06-22,4,0
Colombia,COL,AMRO,01-07-22,57,0
Colombia,COL,AMRO,01-08-22,1476,0
Colombia,COL,AMRO,01-09-22,1526,0
Colombia,COL,AMRO,01-10-22,674,0
Colombia,COL,AMRO,01-11-22,263,0
Colombia,COL,AMRO,01-12-22,57,0
Colombia,COL,AMRO,01-01-23,21,0
Colombia,COL,AMRO,01-02-23,8,0
Colombia,COL,AMRO,01-03-23,1,0
Colombia,COL,AMRO,01-04-23,0,0
Colombia,COL,AMRO,01-05-23,2,0
Colombia,COL,AMRO,01-06-23,0,0
Colombia,COL,AMRO,01-07-23,1,0
Colombia,COL,AMRO,01-08-23,5,0
Colombia,COL,AMRO,01-09-23,2,0
Colombia,COL,AMRO,01-10-23,15,0
Colombia,COL,AMRO,01-11-23,10,0
Colombia,COL,AMRO,01-12-23,24,0
Colombia,COL,AMRO,01-01-24,40,0
Colombia,COL,AMRO,01-02-24,15,0
Colombia,COL,AMRO,01-03-24,12,0
Colombia,COL,AMRO,01-04-24,23,0
Colombia,COL,AMRO,01-05-24,0,0
Congo,COG,AFRO,01-04-22,2,0
Congo,COG,AFRO,01-05-22,0,0
Congo,COG,AFRO,01-06-22,0,0
Congo,COG,AFRO,01-07-22,0,0
Congo,COG,AFRO,01-08-22,1,0
Congo,COG,AFRO,01-09-22,2,0
